0.8702,0.99758,1.1838,0.8017,0.8969,0.82323
1.2362,1.0431,0.94923,1.2154,1.0843,1.3118
0.84831,0.94728,0.93714,1.3237,1.0201,0.92164
0.77808,0.91216,0.9439,0.65269,0.62467,0.90409
0.83089,0.902,1.1366,1.0601,1.0865,0.92272
0.88547,1.0438,0.91486,1.0147,0.97929,0.90696
0.88826,1.0342,1.6145,1.0363,1.3106,0.88889
1.0357,1.2515,1.2624,1.1998,0.75335,1.4565
0.96063,0.61792,0.94996,0.7504,0.87678,0.87065
1.1173,0.94509,1.0944,0.65366,1.1999,0.82673
0.82962,1.0004,1.1362,0.71362,1.081,1.0665
1.1601,1.3388,1.1188,0.68906,0.4713,0.95973
0.69812,0.91447,0.96905,1.1669,0.86397,1.0764
1.1752,1.1534,0.97521,0.80842,1.0243,1.3001
0.95144,1.047,0.76966,0.78365,1.1792,1.1994
1.0334,0.94805,0.96905,1.4208,0.99835,1.3479
0.60692,1.0705,1.2045,0.65832,0.93148,1.1917
0.74599,0.97904,1.2229,0.74149,0.86205,0.85255
1.235,1.2181,1.0595,1.2971,1.4591,0.83981
1.4058,1.2104,0.97066,1.2652,1.016,0.84835
0.94497,0.74326,0.98178,0.91216,0.70862,1.0712
1.1207,0.76721,0.93883,1.0373,1.1798,1.1987
1.3563,1.1054,0.68994,1.0987,1.0871,0.93164
1.3547,0.81034,0.70513,1.0026,1.1664,1.422
0.62698,1.2655,0.76651,1.3425,0.99685,1.0432
0.78978,1.251,1.3367,0.61107,1.174,0.88371
0.91652,1.0458,1.3035,0.69991,1.0939,1.063
1.2804,1.1728,0.61255,0.92409,0.78423,1.1714
0.72645,1.0937,1.0815,0.92608,1.2538,1.0196
0.94149,1.0078,0.83757,0.91719,0.90951,1.3202
1.2542,1.0824,1.3644,0.74159,0.86093,0.8852
1.0132,0.85058,1.2128,0.81856,1.0098,1.0291
1.0903,1.0943,1.5574,0.5936,0.97232,1.036
0.93556,0.83767,1.1064,0.52166,1.2456,1.0558
1.1577,0.82285,0.9018,0.89639,1.0921,1.2178
1.1857,0.73277,0.62864,0.95112,1.1621,1.2646
0.90184,0.66947,0.73269,1.0571,0.7892,1.0086
1.3594,1.124,0.86816,1.0808,1.2839,1.1893
1.1181,1.09,1.1124,0.99944,1.226,0.88
